d01p1:    12.254µs
d01p2:  4154.700µs
d02p1:   267.670µs
d02p2:   504.390µs
d03p1:  4825.300µs
d03p2:   885.330µs
d04p1:   117.080µs
d04p2:   153.240µs
d05p1:   375.380µs
d05p2:  6618.500µs
d06p1:  4372.700µs
d06p2:   202.760µs
d07p1:    24.935µs
d07p2:    41.470µs
d08p1:   233.480µs
d08p2:   221.140µs
d09p1:   318.360µs
d09p2: 36211.000µs
d10p1: 57979.000µs
d10p2: 56926.000µs
d11p1:   619.460µs
d11p2: 98018.000µs
d12p1:     5.411µs
d12p2:    24.683µs
d13p1:   136.960µs
d13p2:  1180.300µs
d14p1:   694.250µs
d14p2:115510.500µs
d15p1:    34.519µs
d15p2:    71.231µs
d16p1:   234.340µs
d16p2:   209.560µs
d17p1:   706.540µs
d17p2:   699.690µs
d18p1:   299.930µs
d18p2: 21239.000µs
d19p1:     2.260µs
d19p2:     5.884µs
d20p1: 22001.000µs
d20p2: 19673.000µs
d21p1:     1.774µs
d21p2:   307.090µs
d22p1:    69.507µs
d22p2: 21850.000µs
d23p1:   129.210µs
d23p2:   252.250µs
d24p1:   806.770µs
d24p2: 18089.000µs
d25p1:  2301.500µs

All of 2018: 618.17ms
